model,fold,cost,recall,precision,auc,auc_pr,TP,FP,FN,TN,threshold,unweighted_threshold,repeat
gradient boosting,5,6500,0.94375,0.4301994301994302,0.988532838983051,0.8876956094418783,151,200,9,9240,0.0027150281239300966,5.4445426926620586e-05,5
random forest,1,5870,0.975,0.287292817679558,0.9827684719279661,0.8506148990322857,156,387,4,9053,0.03666666666666667,0.0007606666205656594,0
random forest,2,6840,0.96875,0.2631578947368421,0.981525754766949,0.8283377240756671,155,434,5,9006,0.02666666666666667,0.000547645125958379,0
random forest,3,7750,0.95,0.2884250474383302,0.989891750529661,0.80373650577486,152,375,8,9065,0.02666666666666667,0.000547645125958379,0
random forest,4,7690,0.95,0.29174664107485604,0.9846060646186441,0.8486152694486755,152,369,8,9071,0.03,0.000618174325159695,0
random forest,5,6480,0.96875,0.28028933092224234,0.9904333289194915,0.8202821381534939,155,398,5,9042,0.03333333333333333,0.0006891798759476223,0
random forest,1,5560,0.96875,0.3362255965292842,0.9921335407838983,0.8517452243248622,155,306,5,9134,0.04666666666666667,0.0009780634343998884,1
random forest,2,8780,0.93125,0.31236897274633124,0.9790919623940676,0.7902649013053002,149,328,11,9112,0.03666666666666667,0.0007606666205656594,1
random forest,3,9710,0.91875,0.3141025641025641,0.9760553495762713,0.7902141377360996,147,321,13,9119,0.05,0.0010515247108307047,1
random forest,4,4510,0.975,0.3832923832923833,0.9929892743644068,0.8525624508062966,156,251,4,9189,0.056666666666666664,0.0011999717653702264,1
random forest,5,8890,0.925,0.33867276887871856,0.9789727886652543,0.785450052377924,148,289,12,9151,0.04,0.0008326394671107411,1
random forest,1,5760,0.98125,0.2692967409948542,0.9916290386652542,0.8302161610522177,157,426,3,9014,0.02666666666666667,0.000547645125958379,2
random forest,2,5340,0.975,0.3183673469387755,0.9885771980932203,0.8223927110903095,156,334,4,9106,0.03333333333333333,0.0006891798759476223,2
random forest,3,8210,0.94375,0.289272030651341,0.9764102224576271,0.8421564089458669,151,371,9,9069,0.03666666666666667,0.0007606666205656594,2
random forest,4,5810,0.9625,0.35402298850574715,0.9945478019067797,0.8416735890079843,154,281,6,9159,0.04666666666666667,0.0009780634343998884,2
random forest,5,8600,0.93125,0.32461873638344224,0.9731236758474575,0.7921364918636475,149,310,11,9130,0.05,0.0010515247108307047,2
random forest,1,7050,0.94375,0.37192118226600984,0.9811116260593221,0.8355192684600964,151,255,9,9185,0.05333333333333334,0.0011254924029262803,3
random forest,2,8620,0.93125,0.3232104121475054,0.9871123543432204,0.8316213066057165,149,312,11,9128,0.04,0.0008326394671107411,3
random forest,3,7360,0.9625,0.26101694915254237,0.9865029131355932,0.8192166684564132,154,436,6,9004,0.02666666666666667,0.000547645125958379,3
random forest,4,7600,0.94375,0.3275488069414317,0.9840989141949152,0.7940608851349559,151,310,9,9130,0.04666666666666667,0.0009780634343998884,3
random forest,5,6390,0.95625,0.34615384615384615,0.985259533898305,0.8319597359185531,153,289,7,9151,0.05,0.0010515247108307047,3
random forest,1,6280,0.96875,0.29080675422138835,0.9909514036016949,0.8270857107706401,155,378,5,9062,0.03,0.000618174325159695,4
random forest,2,9320,0.91875,0.34265734265734266,0.9769362420550848,0.8090663669765392,147,282,13,9158,0.056666666666666664,0.0011999717653702264,4
random forest,3,7350,0.95,0.31211498973305957,0.9841138109110169,0.8237941375611599,152,335,8,9105,0.03666666666666667,0.0007606666205656594,4
random forest,4,6050,0.9625,0.3355119825708061,0.9900132415254237,0.829985543239881,154,305,6,9135,0.043333333333333335,0.0009051033906565481,4
random forest,5,6380,0.975,0.26262626262626265,0.9825340969279661,0.8355632715148973,156,438,4,9002,0.02666666666666667,0.000547645125958379,4
random forest,1,5880,0.96875,0.3144016227180527,0.9843289856991524,0.8289111498293316,155,338,5,9102,0.03333333333333333,0.0006891798759476223,5
random forest,2,7520,0.94375,0.3333333333333333,0.9838738082627119,0.8148604697253186,151,302,9,9138,0.043333333333333335,0.0009051033906565481,5
random forest,3,6130,0.975,0.2741652021089631,0.9882991260593222,0.833624197123166,156,413,4,9027,0.03333333333333333,0.0006891798759476223,5
random forest,4,8160,0.9375,0.3218884120171674,0.9798778469279661,0.8080437822305845,150,316,10,9124,0.04,0.0008326394671107411,5
random forest,5,6240,0.95625,0.3583138173302108,0.9848765227754237,0.8323576421112949,153,274,7,9166,0.04666666666666667,0.0009780634343998884,5
