model,fold,cost,recall,precision,auc,auc_pr,TP,FP,FN,TN,threshold,unweighted_threshold,repeat
V0,5,5890,0.96875,0.31376518218623484,0.985243313029661,0.8433828324242352,155,339,5,9101,0.03666666666666667,0.0007606666205656594,3
V0,1,7610,0.9375,0.36496350364963503,0.9907872086864405,0.8302060139604552,150,261,10,9179,0.04666666666666667,0.0009780634343998884,4
V0,2,9360,0.91875,0.3394919168591224,0.9774447166313559,0.827182456077177,147,286,13,9154,0.056666666666666664,0.0011999717653702264,4
V0,3,6830,0.95,0.34942528735632183,0.9845660090042373,0.8227214806355023,152,283,8,9157,0.043333333333333335,0.0009051033906565481,4
V0,4,5760,0.975,0.2932330827067669,0.9878015757415254,0.8420524915704747,156,376,4,9064,0.03333333333333333,0.0006891798759476223,4
V0,5,5350,0.96875,0.3522727272727273,0.9826317531779662,0.8429318657875637,155,285,5,9155,0.04666666666666667,0.0009780634343998884,4
V0,1,5370,0.975,0.31643002028397565,0.9886775026483052,0.8403531005261182,156,337,4,9103,0.03333333333333333,0.0006891798759476223,5
V0,2,7590,0.94375,0.3282608695652174,0.986802502648305,0.8258321092454247,151,309,9,9131,0.04,0.0008326394671107411,5
V0,3,5930,0.96875,0.3112449799196787,0.9916508871822033,0.8374979850159335,155,343,5,9097,0.04666666666666667,0.0009780634343998884,5
V0,4,8090,0.94375,0.296078431372549,0.971241061970339,0.8124629792284329,151,359,9,9081,0.03333333333333333,0.0006891798759476223,5
V0,5,6280,0.95,0.4,0.9852121954449152,0.8429494375249023,152,228,8,9212,0.056666666666666664,0.0011999717653702264,5
V1,1,5870,0.975,0.287292817679558,0.9827684719279661,0.8506148990322857,156,387,4,9053,0.03666666666666667,0.0007606666205656594,0
V1,2,6840,0.96875,0.2631578947368421,0.981525754766949,0.8283377240756671,155,434,5,9006,0.02666666666666667,0.000547645125958379,0
V1,3,7750,0.95,0.2884250474383302,0.989891750529661,0.80373650577486,152,375,8,9065,0.02666666666666667,0.000547645125958379,0
V1,4,7690,0.95,0.29174664107485604,0.9846060646186441,0.8486152694486755,152,369,8,9071,0.03,0.000618174325159695,0
V1,5,6480,0.96875,0.28028933092224234,0.9904333289194915,0.8202821381534939,155,398,5,9042,0.03333333333333333,0.0006891798759476223,0
V1,1,5560,0.96875,0.3362255965292842,0.9921335407838983,0.8517452243248622,155,306,5,9134,0.04666666666666667,0.0009780634343998884,1
V1,2,8780,0.93125,0.31236897274633124,0.9790919623940676,0.7902649013053002,149,328,11,9112,0.03666666666666667,0.0007606666205656594,1
V1,3,9710,0.91875,0.3141025641025641,0.9760553495762713,0.7902141377360996,147,321,13,9119,0.05,0.0010515247108307047,1
V1,4,4510,0.975,0.3832923832923833,0.9929892743644068,0.8525624508062966,156,251,4,9189,0.056666666666666664,0.0011999717653702264,1
V1,5,8890,0.925,0.33867276887871856,0.9789727886652543,0.785450052377924,148,289,12,9151,0.04,0.0008326394671107411,1
V1,1,5760,0.98125,0.2692967409948542,0.9916290386652542,0.8302161610522177,157,426,3,9014,0.02666666666666667,0.000547645125958379,2
V1,2,5340,0.975,0.3183673469387755,0.9885771980932203,0.8223927110903095,156,334,4,9106,0.03333333333333333,0.0006891798759476223,2
V1,3,8210,0.94375,0.289272030651341,0.9764102224576271,0.8421564089458669,151,371,9,9069,0.03666666666666667,0.0007606666205656594,2
V1,4,5810,0.9625,0.35402298850574715,0.9945478019067797,0.8416735890079843,154,281,6,9159,0.04666666666666667,0.0009780634343998884,2
V1,5,8600,0.93125,0.32461873638344224,0.9731236758474575,0.7921364918636475,149,310,11,9130,0.05,0.0010515247108307047,2
V1,1,7050,0.94375,0.37192118226600984,0.9811116260593221,0.8355192684600964,151,255,9,9185,0.05333333333333334,0.0011254924029262803,3
